id_caso,fecha_extraccion,origen_detectado,nombre_empresa_crudo,url_slide,industria_detectada,subindustria_detalle,area_detectada,tipo_problema_detectado,trigger_comercial_detectado,solucion_detectada,tecnologias_mencionadas,resultados_detectados,contexto_para_embedding,notas_extraccion
NEO-015,2026-02-12,Caso NEO propio,Alicorp,PENDIENTE,Consumo y Retail,Monitoreo de stock cloud real-time,Operaciones,Alicorp tiene dificultad para eliminar la ceguera operativa en el canal digital que causa quiebres de stock no detectados durante el día,Cuando un equipo pierde 40 min diarios revisando SKU por SKU este caso demuestra reducción del 88% en tiempo,Automatización cloud serverless que realiza scraping del catálogo e-commerce 24/7 y genera semáforos de disponibilidad,Cloud Functions Serverless Scraping BigQuery Looker Studio,88% eficiencia temporal temporal visibilidad 24/7 continua serverless cost-efficiency Time to Value 2 semanas,Consumo y Retail | Alicorp | Caso NEO propio | PROBLEMA: Revisión manual lenta de stock en e-commerce | SOLUCIÓN: Robots cloud serverless para monitoreo 24/7 | RESULTADO: -88% tiempo manual visibilidad continua | TRANSFERIBLE: E-commerce retail planificación de demanda,Convierte datos técnicos en semáforos operativos de fácil lectura
BENCH-017,2026-02-12,Benchmark externo,Mayo Clinic,PENDIENTE,Salud y Farmacéutica,Asistente clínico contextual,Operaciones,Mayo Clinic tiene dificultad para que médicos revisen 50 documentos por paciente complejo que causa 10-15 min de pérdida por cada uno,Cuando el 50% de la jornada médica se va en data entry este caso demuestra reducción del 80% en tiempo de monitoreo,Asistente clínico inteligente con búsqueda médica contextual y verificada respaldada por fuentes exactas en entorno clínico cerrado,Private Clinical Cloud Vector Search Private LLM Source Documents,80% reducción tiempo monitoreo 90% detección riesgos ocultos 20% aumento capacidad atención,Salud y Farmacéutica | Mayo Clinic | Benchmark externo | PROBLEMA: Sobrecarga de lectura de documentos clínicos | SOLUCIÓN: Búsqueda semántica privada sobre historial paciente | RESULTADO: -80% tiempo monitoreo clínico | TRANSFERIBLE: Hospitales clínicas laboratorios seguros médicos,Hallazgos respaldados por fuente clínica exacta para validación inmediata
BENCH-018,2026-02-12,Benchmark externo,Blue Shield of California,PENDIENTE,Salud y Farmacéutica,Autorización médica cognitiva,Operaciones,Blue Shield tiene dificultad para eliminar el cuello de botella del fax que causa esperas de 14 días para tratamientos críticos,Cuando un proceso manual genera ansiedad y costos masivos este caso demuestra autorización de 14 días a segundos,Plataforma de autorización médica cognitiva que interpreta el historial clínico (FHIR) y aprueba automáticamente bajo reglas de póliza,Decision Agent Policy Rules Engine EHR Reader FHIR Salesforce AI,Autorización en segundos vs 14 días $26M ahorro operativo 99% reducción tiempo,Salud y Farmacéutica | Blue Shield | Benchmark externo | PROBLEMA: Autorizaciones médicas lentas por proceso fax/manual | SOLUCIÓN: Núcleo de decisión agéntica sobre historial clínico | RESULTADO: Segundos vs 14 días $26M ahorro | TRANSFERIBLE: Aseguradoras salud servicios de previsión,La IA solo aprueba casos claros deriva dudas a médicos revisores
BENCH-019,2026-02-12,Benchmark externo,Moderna,PENDIENTE,Salud y Farmacéutica,Ecosistema interno de GPTs,Operaciones,Moderna tiene dificultad para vencer la burocracia del crecimiento explosivo que causa silos de conocimiento y frena la innovación,Cuando un cliente requiere escalar capacidad intelectual sin duplicar nómina este caso demuestra 80% adopción semanal,Ecosistema interno de agentes GenAI (GPTs) especializados en legal clínico regulatorio y operaciones con zero data retention,ChatGPT Enterprise Azure OpenAI Agentes especializados SSO RBAC,750+ agentes creados 80% adopción semanal escalabilidad no lineal de producción intelectual,Salud y Farmacéutica | Moderna | Benchmark externo | PROBLEMA: Burocracia y silos tras crecimiento explosivo | SOLUCIÓN: Ecosistema interno de GPTs especializados por área | RESULTADO: 750+ agentes adopción masiva | TRANSFERIBLE: Farmacéuticas empresas R&D corporativos globales,Permite a equipos crear soluciones sin riesgo de fuga de información
BENCH-020,2026-02-12,Benchmark externo,HCA Healthcare,PENDIENTE,Salud y Farmacéutica,IA clínica para notas ambientales,Operaciones,HCA Healthcare tiene dificultad para evitar que médicos pasen el 40% de consulta mirando el teclado que causa burnout y rotación,Cuando un médico pasa noches terminando notas clínicas este caso demuestra recuperación de 3 horas diarias,Captura de audio ambiental y motor de IA clínica que estructura conversaciones en formato SOAP automáticamente para revisión y firma,Augmedix Audio Ambiental Encriptado Motor IA Clínica Estructuración SOAP,3 horas clínicas recuperadas por médico al día 30% reducción carga administrativa +15% NPS,Salud y Farmacéutica | HCA | Benchmark externo | PROBLEMA: Burnout médico por carga administrativa de notas | SOLUCIÓN: IA ambiental para estructuración SOAP automática | RESULTADO: +3 horas recuperadas/día -30% carga | TRANSFERIBLE: Consultorios médicos psicología servicios legales,Médico vuelve a mirar al paciente en lugar de al teclado
NEO-016,2026-02-12,Caso NEO propio,Clinicas Auna,PENDIENTE,Salud y Farmacéutica,Predicción de fuga seguros oncológicos,Comercial,Auna tiene dificultad para reaccionar a tiempo ante salida de afiliados que causa bajas no anticipadas cuando ya es tarde,Cuando un cliente toma la decisión de salida meses antes este caso demuestra 95% de precisión anticipando fuga,Motor predictivo de fuga con inteligencia proactiva que analiza perfil 360 y sugiere la Next Best Action hasta 4 meses antes,Churn Predictivo Machine Learning Aprendizaje Supervisado Next Best Action,95% precisión anticipación ventana de 4 meses +15% NPS 30% reducción carga administrativa,Salud y Farmacéutica | Auna | Caso NEO propio | PROBLEMA: Reacción tardía ante fuga de afiliados | SOLUCIÓN: Modelo predictivo proactivo con ventana de 4 meses | RESULTADO: 95% precisión anticipando Churn | TRANSFERIBLE: Seguros salud banca telcos suscripciones,Identifica causa probable (económica bajo uso) para acción comercial
BENCH-021,2026-02-12,Benchmark externo,Georgia State University,PENDIENTE,Tecnología y Telecom,Retención proactiva estudiantil,Growth,Georgia State tiene dificultad para escalar la eficiencia académica sin inflar costos que causa abandono por trámites pendientes,Cuando un alumno aceptado no completa matrícula por falta de documentos este caso demuestra $3M+ recuperados,Agente proactivo de retención mediante IA conversacional (WhatsApp) que detecta riesgos y actúa antes del abandono enviando QRs de pago,IA Conversacional WhatsApp SMS CRM ERP Académico Integración,USD 3M+ recuperados en matrículas 30% reducción carga administrativa +15% NPS,Tecnología y Telecom | GSU | Benchmark externo | PROBLEMA: Deserción por barreras administrativas en matrícula | SOLUCIÓN: Agente proactivo WhatsApp para acompañamiento sin fricción | RESULTADO: $3M recuperados -30% carga admin | TRANSFERIBLE: Universidades institutos educación online onboarding,El agente no espera preguntas actúa ante el riesgo detectado en CRM
BENCH-022,2026-02-12,Benchmark externo,Khan Academy,PENDIENTE,Tecnología y Telecom,Tutoría socrática personalizada,Growth,Khan Academy tiene dificultad para democratizar acceso a tutoría 1 a 1 que causa brechas de aprendizaje críticas y deserción escolar,Cuando un cliente requiere escalar tutoría a millones en paralelo este caso demuestra mejora de 3x en rendimiento,Tutoría personalizada escalable mediante Agente Socrático que guía paso a paso con preguntas reflexivas sin dar respuestas finales,OpenAI Agente Socrático PDF Currícula Oficial Detección de Brechas,3x mejora rendimiento matemático 25% rescate de revenue académico tutoría personalizada masiva,Tecnología y Telecom | Khan Academy | Benchmark externo | PROBLEMA: Escalar tutoría 1 a 1 de calidad | SOLUCIÓN: Agente IA Socrático para aprendizaje paso a paso | RESULTADO: 3x rendimiento matemático | TRANSFERIBLE: EdTech capacitación corporativa educación K-12,Guía al estudiante a razonar y aprender no a memorizar
BENCH-023,2026-02-12,Benchmark externo,Duolingo,PENDIENTE,Tecnología y Telecom,Experiencias conversacionales roleplay,Producto,Duolingo tiene dificultad para evitar abandono por fatiga de aprendizaje repetitivo que causa bajo LTV y poca conversión premium,Cuando un cliente busca mantener atención mediante interacción activa este caso demuestra +51% usuarios activos,Experiencias conversacionales inmersivas con Agente Actor y Agente Coach para práctica de escenarios reales con feedback inmediato,AI Role Play LLM Personalidad definida Feedback Agente Coach,51% usuarios activos diarios DAU +37% revenue +20% retención,Tecnología y Telecom | Duolingo | Benchmark externo | PROBLEMA: Abandono por fatiga de aprendizaje pasivo | SOLUCIÓN: IA Role Play para escenarios reales con feedback | RESULTADO: +51% DAU +37% Revenue | TRANSFERIBLE: Idiomas ventas soft skills servicio al cliente,Convierte práctica pasiva en interacción activa realista
NEO-017,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Tecnología y Telecom,Atribución de impacto de marca,Marketing,NEO Consulting tiene dificultad para superar métricas de vanidad en campañas educativas que causa desconocimiento del impacto real en negocio,Cuando un cliente necesita cuantificar Awareness real vs ruido publicitario este caso demuestra aumento del 35% en Awareness,Motor de medición causal con IA para atribución de impacto de marca mediante diseño experimental grupo expuesto vs control,Medición Causal IA Search Brand Lift Comparación Estadística,35% aumento Brand Awareness 15-25% Ad Recall 10-20% aumento uso servicio Time to Value 2 meses,Tecnología y Telecom | NEO | Caso NEO propio | PROBLEMA: Dificultad para medir ROI de campañas de marca | SOLUCIÓN: Motor medición causal experimental (Lift Incremental) | RESULTADO: +35% Awareness real medido | TRANSFERIBLE: Marketing retail educación servicios banca,Invierte en canales con impacto incremental comprobado
NEO-018,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Tecnología y Telecom,Priorización inteligente de leads educativos,Ventas,NEO Consulting tiene dificultad para identificar candidatos con alta probabilidad de matrícula que causa pérdida de tiempo en admisiones,Cuando un cliente tiene muchos leads pero baja tasa de cierre este caso demuestra reducción del 30% en Cost-to-Serve,Proceso de calificación inteligente de leads mediante modelos de scoring de cita e incorporación para priorizar el esfuerzo comercial,Scoring Leads Machine Learning Modelo Predictivo Priorización Comercial,30% reducción cost-to-serve 25% mayor cierre en citas incremento tasa matrícula,Tecnología y Telecom | NEO | Caso NEO propio | PROBLEMA: Equipo de admisiones saturado de leads fríos | SOLUCIÓN: Modelo scoring doble (cita + incorporación) | RESULTADO: -30% Cost-to-Serve leads priorizados | TRANSFERIBLE: Educación inmobiliaria banca seguros B2B,El esfuerzo comercial se asigna según valor esperado no volumen
BENCH-024,2026-02-12,Benchmark externo,Freeport-McMoRan McKinsey,PENDIENTE,Industria y Energía,Optimización de molino en tiempo real,Operaciones,Freeport-McMoRan tiene dificultad para superar el conservadurismo humano en ajuste de molinos que causa capacidad instalada no utilizada,Cuando la roca cambia cada hora pero el ajuste es cada 60 min este caso demuestra aumento del 10% en producción,IA Control Agent para optimización operativa en tiempo real que ajusta setpoints continuamente sin inversión en maquinaria,Process Sensors PI System AI Control Agent DCS PLC Automatic Adjustment,10% aumento producción cobre $200M impacto anual $0 USD Capex Time to Value 6-9 meses,Industria y Energía | Freeport | Benchmark externo | PROBLEMA: Variabilidad de mineral y ajuste manual lento | SOLUCIÓN: Agente IA para ajuste continuo de setpoints molino | RESULTADO: +10% producción $200M anuales | TRANSFERIBLE: Minería siderurgia plantas cemento manufactura,Logra estabilidad operacional continua sin sesgo conservador
BENCH-025,2026-02-12,Benchmark externo,Rio Tinto,PENDIENTE,Industria y Energía,Mantenimiento predictivo agéntico,Operaciones,Rio Tinto tiene dificultad para evitar paradas no planificadas caras que causa decisiones tarde y fallas por señales no entendidas,Cuando los sensores van por un lado y reportes por otro este caso demuestra ahorro de $200M,Mantenimiento predictivo mediante agentes de decisión que correlacionan datos de sensores con logs de turno multimodales,Agentic AI Reasoning Multimodal Correlation PI System SAP PM,Ahorro global $200M 20% reducción paradas no planificadas 15% aumento tiempo medio entre falla,Industria y Energía | Rio Tinto | Benchmark externo | PROBLEMA: Fallas críticas por falta de integración de datos | SOLUCIÓN: IA agéntica para correlación sensores + texto (logs) | RESULTADO: $200M ahorro -20% paradas | TRANSFERIBLE: Minería petróleo energía manufactura pesada,Convierte alertas en órdenes de trabajo (SAP PM) listas para ejecutar
BENCH-026,2026-02-12,Benchmark externo,Anglo American,PENDIENTE,Industria y Energía,Simulación de escenarios mineros,Operaciones,Anglo American tiene dificultad para superar silos operativos entre mina planta y puerto que causa planes obsoletos ante fallas,Cuando un cambio en la ley del mineral obliga a decisiones reactivas este caso demuestra ahorro de $2.000 MM,Plan minero mediante simulación de escenarios Digital Twin que integra mina planta y logística para optimizar el margen global,VOXEL Data Lake Digital Twin What-If Simulation IROC Decision Copilot,Impacto económico $2B +20% eficiencia operativa predictibilidad en 6 horas Time to Value 6-122 meses,Industria y Energía | Anglo American | Benchmark externo | PROBLEMA: Silos operativos y planes reactivos | SOLUCIÓN: Digital Twin para simulación What-If integrada | RESULTADO: $2B impacto económico +20% eficiencia | TRANSFERIBLE: Minería grandes cadenas suministro Oil & Gas,Prioriza el mejor resultado económico total no óptimos locales
BENCH-027,2026-02-12,Benchmark externo,Anglo American Sustainability,PENDIENTE,Industria y Energía,Alerta temprana conflictos sociales,Operaciones,Anglo American tiene dificultad para enterarse de conflictos sociales antes de tomas de carretera que causa pérdidas de $20M semana,Cuando el descontento se gesta en canales invisibles (radios locales) este caso demuestra reducción del 60% en días perdidos,Sistema de alerta temprana que usa Speech-to-Text para monitorear radios AM/FM y NLP para detectar sentimientos y detonantes sociales,Social Sensing AI Speech-to-Text NLP Contextual Local WhatsApp monitoring,60% reducción días perdidos conflictos 100% cobertura escucha licencia social reforzada Time to Value 3 meses,Industria y Energía | Anglo American | Benchmark externo | PROBLEMA: Conflictos sociales detectados tardíamente | SOLUCIÓN: IA de escucha 24/7 de radios AM FM y jerga local | RESULTADO: -60% días perdidos por conflictos | TRANSFERIBLE: Minería energía infraestructura proyectos públicos,Entrenado para entender jerga local y clasificar ira miedo o esperanza
NEO-019,2026-02-12,Caso NEO propio,Minsur,PENDIENTE,Industria y Energía,Unificación de datos IT/OT,Operaciones,Minsur tiene dificultad para relacionar fallas de activos con impacto económico que causa retraso en decisiones y bloquea IA predictiva,Cuando los costos están en SAP y la condición en sensores aislados este caso demuestra reducción del 40% en tiempo diagnóstico,Lakehouse unificado en Microsoft Fabric que integra SAP PM sensores IoT e historial para visibilidad operativa total,Microsoft Fabric OneLake SAP PM IoT Contexto Total Activo,40% reducción tiempo diagnóstico 100% visibilidad unificada arquitectura AI Ready escalabilidad,Industria y Energía | Minsur | Caso NEO propio | PROBLEMA: Desconexión crítica entre datos IT (SAP) y OT (sensores) | SOLUCIÓN: Lakehouse unificado OneLake para contexto total activo | RESULTADO: -40% tiempo diagnóstico AI Ready | TRANSFERIBLE: Manufactura minería energía procesos industriales,Permite identificar causas raíz de fallas con impacto en negocio
BENCH-028,2026-02-12,Benchmark externo,Driscoll's,PENDIENTE,Agro y Logística,Asignación inteligente por calidad,Logística,Driscoll's tiene dificultad para cobrar precio premium por fruta de distinta calidad mezclada que causa margen perdido por promedios,Cuando el muestreo manual solo cubre el 1% del volumen este caso demuestra incremento del 20% en precio,Asignación inteligente para maximizar margen usando espectroscopía NIR para medir calidad interna (Brix) sin dañar el producto,NIR Spectroscopy AI Allocation Engine Connected Supply Chain,20% incremento price premium 50% reducción rechazos destino 10x densidad de datos,Agro y Logística | Driscoll's | Benchmark externo | PROBLEMA: Mezcla de fruta de distinta calidad por falta de datos | SOLUCIÓN: Espectroscopía NIR + IA para venta premium de fruta dulce | RESULTADO: +20% Price Premium -50% rechazos | TRANSFERIBLE: Agroexportación alimentos frescos retail,Identifica fruta Super Sweet para vender como producto premium
BENCH-029,2026-02-12,Benchmark externo,Dole Clarifresh,PENDIENTE,Agro y Logística,Visión digital de calidad en campo,Operaciones,Dole tiene dificultad para evitar rechazos en destino por criterios inconsistentes de calidad que causa pérdidas millonarias y desperdicio,Cuando inspectores pierden 50% tiempo digitando reportes manuales este caso demuestra 98% consistencia,Visión digital de calidad con Edge AI en dispositivos móviles que califica fruta bajo estándar matemático único sin internet,Mobile Computer Vision Edge AI Offline-First Calificación Objetiva,98% consistencia calidad 90% reducción flete muerto cero intervención humana Time to Value 4-5 meses,Agro y Logística | Dole | Benchmark externo | PROBLEMA: Subjetividad humana ojímetro en inspección de fruta | SOLUCIÓN: Computer Vision offline para calibre color y defectos | RESULTADO: 98% consistencia -90% flete muerto | TRANSFERIBLE: Agroindustria packing control de calidad visual,Elimina la subjetividad humana mediante estándar matemático global
BENCH-030,2026-02-12,Benchmark externo,Zespri,PENDIENTE,Agro y Logística,Pronóstico de cosecha vs flete muerto,Logística,Zespri tiene dificultad para superar el optimismo agronómico en estimaciones de campo que causa pagos por barcos vacíos y multas,Cuando una discrepancia climática genera flete muerto este caso demuestra eliminación del 90% de muras,Modelo de corrección con IA (XGBoost) que ajusta proyecciones visuales por historial y microclima para optimizar flete y contratos,XGBoost Modelo Corrección IA Proyección Agronómica Visual Semáforo Logístico,90% reducción flete muerto 98% visión válida eliminación de multas por Fill Rate,Agro y Logística | Zespri | Benchmark externo | PROBLEMA: Dead Freight por estimaciones de cosecha optimistas | SOLUCIÓN: Modelo XGBoost ajustado por microclima e historial | RESULTADO: -90% flete muerto 98% precisión | TRANSFERIBLE: Agroexportación transporte marítimo supply chain,Permite firmar contratos basados en datos duros no en buenos deseos
NEO-020,2026-02-12,Caso NEO propio,Camposol,PENDIENTE,Agro y Logística,Roadmap estratégico AgTech,Estrategia,Camposol tiene dificultad para decidir dónde invertir ante mercado saturado de promesas AgTech que causa dispersión de presupuesto sin ROI,Cuando un cliente requiere filtro financiero para drones/IoT/Robots este caso demuestra 100% foco en exportación,Diseño de roadmap de IA agrícola mediante auditoría de madurez de datos y filtro de ROI para priorizar casos de riego y rendimiento,Data Maturity Audit ROI Effort Filter Tech Scouting Roadmap IA,100% foco exportación ahorro Capex por tecnología no viable validación técnica sensores,Agro y Logística | Camposol | Caso NEO propio | PROBLEMA: Saturación de promesas AgTech sin sustento financiero | SOLUCIÓN: Roadmap estratégico con filtro ROI y madurez datos | RESULTADO: 100% foco ahorro Capex | TRANSFERIBLE: Empresas agrícolas corporativos con innovación,Prioriza Optimización de Riego y Predicción de Rendimiento
NEO-021,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Agro y Logística,Estrategia biomasa digital acuicultura,Operaciones,NEO Consulting tiene dificultad para realizar muestreo exacto en agua turbia que causa desperdicio del 60% del costo en alimento,Cuando la gerencia decide a ciegas por biomasa invisible este caso demuestra 100% visión válida,Estrategia de biomasa digital que usa arquitectura Edge-First y sensores validados para ver en turbidez y automatizar alimentación,Smart Feeding Intelligence Edge-First Visión en Turbidez Sonar Piloto,100% visión válida 30% reducción riesgo Capex roadmap de raciones automatizadas,Agro y Logística | NEO | Caso NEO propio | PROBLEMA: Desperidicio de alimento por conteo manual inexacto | SOLUCIÓN: Sensores para agua turbia y roadmap Smart Feeding | RESULTADO: 100% visión biomasa -30% riesgo Capex | TRANSFERIBLE: Acuicultura langostinos salmones piscigranjas,Conecta data de biomasa con alimentadores para eficiencia FCR)
